Driver ID,nationalid,First Name,Last Name,Racer Number,Team
0,20,Max,Verstappen,1,0
1,10,Sergio,Perez,11,0
2,13,Fernando,Alonso,14,1
3,13,Carlos,Sainz,55,2
4,16,Lewis,Hamilton,44,3
5,2,Lance,Stroll,18,1
6,16,George,Russell,63,3
7,5,Valtteri,Bottas,77,4
8,6,Pierre,Gasly,10,5
9,15,Alexander,Albon,23,6
10,9,Yuki,Tsunoda,22,7
11,17,Logan,Sargeant,2,6
12,4,Kevin,Magnussen,20,8
13,6,Nyck,De Vries,21,7
14,7,Nico,Hulkenberg,27,8
15,3,Zhou,Guanyu,24,4
16,16,Lando,Norris,4,9
17,6,Esteban,Ocon,31,5
18,11,Charles,Leclerc,16,2
19,1,Oscar,Piastri,81,9
20,1,Daniel,Ricciardo,3,7
21,1,Liam,Lawson,40,7
22,18,Robert,Shwartzman,39,2
23,19,Felipe,Drugovich,34,1
24,16,Oliver,Bearman,50,8
25,6,Isack,Hadjar,41,7
26,1,Jack,Doohan,61,5
27,4,Frederik,Vesti,42,3
28,6,Theo,Pourchaire,98,4
29,17,Christopher,Hopstetter,78,1
30,17,David,McDade,46,6
31,17,Alejandro,Martinez,76,5
