Year,Race Name,Position,First Name,Last Name,Racer Number,Team,Laps Completed,Time
2023,bahrain,1,Sergio,Perez,11,16,21,01:32.8
2023,bahrain,2,Fernando,Alonso,14,16,22,01:33.2
2023,bahrain,3,Max,Verstappen,1,16,21,01:33.4
2023,bahrain,4,Lando,Norris,4,16,21,01:34.2
2023,bahrain,5,Charles,Leclerc,16,8,17,01:34.3
2023,bahrain,6,Lance,Stroll,18,16,17,01:34.3
2023,bahrain,7,Kevin,Magnussen,20,17,20,01:34.4
2023,bahrain,8,Zhou,Guanyu,24,14,18,01:34.6
2023,bahrain,9,Valtteri,Bottas,77,14,20,01:34.7
2023,bahrain,10,Lewis,Hamilton,44,16,13,01:34.9
2023,bahrain,11,George,Russell,63,16,20,01:35.0
2023,bahrain,12,Oscar,Piastri,81,16,24,01:35.0
2023,bahrain,13,Yuki,Tsunoda,22,8,20,01:35.0
2023,bahrain,14,Nico,Hulkenberg,27,17,22,01:35.0
2023,bahrain,15,Esteban,Ocon,31,16,20,01:35.1
2023,bahrain,16,Nyck,De Vries,21,8,25,01:35.4
2023,bahrain,17,Pierre,Gasly,10,16,22,01:35.5
2023,bahrain,18,Logan,Sargeant,2,16,24,01:35.7
2023,bahrain,19,Alexander,Albon,23,16,15,01:36.0
2023,bahrain,20,Carlos,Sainz,55,8,21,01:36.1
2023,saudi-arabia,1,Max,Verstappen,1,16,18,01:29.6
2023,saudi-arabia,2,Sergio,Perez,11,16,20,01:30.1
2023,saudi-arabia,3,Fernando,Alonso,14,16,22,01:30.3
2023,saudi-arabia,4,Lance,Stroll,18,16,20,01:30.6
2023,saudi-arabia,5,George,Russell,63,16,26,01:30.8
2023,saudi-arabia,6,Lewis,Hamilton,44,16,26,01:30.8
2023,saudi-arabia,7,Carlos,Sainz,55,8,23,01:30.9
2023,saudi-arabia,8,Pierre,Gasly,10,16,24,01:30.9
2023,saudi-arabia,9,Alexander,Albon,23,16,23,01:31.0
2023,saudi-arabia,10,Yuki,Tsunoda,22,8,25,01:31.1
2023,saudi-arabia,11,Charles,Leclerc,16,8,26,01:31.1
2023,saudi-arabia,12,Esteban,Ocon,31,16,22,01:31.2
2023,saudi-arabia,13,Nyck,De Vries,21,8,29,01:31.5
2023,saudi-arabia,14,Oscar,Piastri,81,16,24,01:31.5
2023,saudi-arabia,15,Nico,Hulkenberg,27,17,22,01:31.6
2023,saudi-arabia,16,Kevin,Magnussen,20,17,23,01:31.6
2023,saudi-arabia,17,Logan,Sargeant,2,16,26,01:31.9
2023,saudi-arabia,18,Valtteri,Bottas,77,14,25,01:32.0
2023,saudi-arabia,19,Zhou,Guanyu,24,14,22,01:32.0
2023,saudi-arabia,20,Lando,Norris,4,16,21,01:32.1
2023,australia,1,Max,Verstappen,1,16,17,01:18.8
2023,australia,2,Lewis,Hamilton,44,16,20,01:19.2
2023,australia,3,Sergio,Perez,11,16,19,01:19.3
2023,australia,4,Fernando,Alonso,14,16,23,01:19.3
2023,australia,5,Charles,Leclerc,16,8,16,01:19.4
2023,australia,6,Carlos,Sainz,55,8,20,01:19.5
2023,australia,7,Lando,Norris,4,16,16,01:19.5
2023,australia,8,Pierre,Gasly,10,16,22,01:19.6
2023,australia,9,George,Russell,63,16,23,01:19.7
2023,australia,10,Lance,Stroll,18,16,19,01:19.8
2023,australia,11,Alexander,Albon,23,16,21,01:19.8
2023,australia,12,Oscar,Piastri,81,16,22,01:19.8
2023,australia,13,Nico,Hulkenberg,27,17,19,01:19.8
2023,australia,14,Nyck,De Vries,21,8,25,01:19.9
2023,australia,15,Logan,Sargeant,2,16,21,01:20.1
2023,australia,16,Esteban,Ocon,31,16,20,01:20.2
2023,australia,17,Yuki,Tsunoda,22,8,14,01:20.4
2023,australia,18,Valtteri,Bottas,77,14,21,01:20.4
2023,australia,19,Zhou,Guanyu,24,14,22,01:20.6
2023,australia,20,Kevin,Magnussen,20,17,17,01:21.1
2023,azerbaijan,1,Max,Verstappen,1,16,22,01:42.3
2023,azerbaijan,2,Charles,Leclerc,16,8,21,01:42.4
2023,azerbaijan,3,Sergio,Perez,11,16,22,01:42.5
2023,azerbaijan,4,Carlos,Sainz,55,8,23,01:42.9
2023,azerbaijan,5,Lando,Norris,4,16,22,01:43.1
2023,azerbaijan,6,Nyck,De Vries,21,8,24,01:43.4
2023,azerbaijan,7,Lance,Stroll,18,16,23,01:43.5
2023,azerbaijan,8,Fernando,Alonso,14,16,20,01:43.6
2023,azerbaijan,9,Alexander,Albon,23,16,25,01:43.6
2023,azerbaijan,10,Zhou,Guanyu,24,14,23,01:43.7
2023,azerbaijan,11,Lewis,Hamilton,44,16,21,01:43.8
2023,azerbaijan,12,Oscar,Piastri,81,16,23,01:44.0
2023,azerbaijan,13,Valtteri,Bottas,77,14,23,01:44.0
2023,azerbaijan,14,Yuki,Tsunoda,22,8,18,01:44.1
2023,azerbaijan,15,Nico,Hulkenberg,27,17,21,01:44.3
2023,azerbaijan,16,Logan,Sargeant,2,16,16,01:44.9
2023,azerbaijan,17,George,Russell,63,16,20,01:45.1
2023,azerbaijan,18,Esteban,Ocon,31,16,8,01:46.0
2023,azerbaijan,19,Pierre,Gasly,10,16,7,01:46.3
2023,azerbaijan,20,Kevin,Magnussen,20,17,8,01:47.5
2023,miami,1,George,Russell,63,16,18,01:30.1
2023,miami,2,Lewis,Hamilton,44,16,24,01:30.3
2023,miami,3,Charles,Leclerc,16,8,23,01:30.4
2023,miami,4,Max,Verstappen,1,16,22,01:30.5
2023,miami,5,Carlos,Sainz,55,8,23,01:30.7
2023,miami,6,Pierre,Gasly,10,16,20,01:31.1
2023,miami,7,Fernando,Alonso,14,16,24,01:31.2
2023,miami,8,Lance,Stroll,18,16,24,01:31.3
2023,miami,9,Nico,Hulkenberg,27,17,14,01:31.4
2023,miami,10,Esteban,Ocon,31,16,27,01:31.5
2023,miami,11,Sergio,Perez,11,16,22,01:31.6
2023,miami,12,Oscar,Piastri,81,16,24,01:31.8
2023,miami,13,Kevin,Magnussen,20,17,25,01:31.9
2023,miami,14,Valtteri,Bottas,77,14,24,01:31.9
2023,miami,15,Alexander,Albon,23,16,25,01:31.9
2023,miami,16,Lando,Norris,4,16,23,01:32.0
2023,miami,17,Zhou,Guanyu,24,14,22,01:32.1
2023,miami,18,Yuki,Tsunoda,22,8,28,01:32.2
2023,miami,19,Logan,Sargeant,2,16,27,01:32.6
2023,miami,20,Nyck,De Vries,21,8,10,01:34.6
2023,monaco,1,Carlos,Sainz,55,8,26,01:13.4
2023,monaco,2,Fernando,Alonso,14,16,28,01:13.7
2023,monaco,3,Lewis,Hamilton,44,16,27,01:14.0
2023,monaco,4,Sergio,Perez,11,16,27,01:14.0
2023,monaco,5,Charles,Leclerc,16,8,24,01:14.1
2023,monaco,6,Max,Verstappen,1,16,26,01:14.2
2023,monaco,7,Lando,Norris,4,16,25,01:14.5
2023,monaco,8,Esteban,Ocon,31,16,29,01:14.6
2023,monaco,9,Lance,Stroll,18,16,28,01:14.7
2023,monaco,10,Alexander,Albon,23,16,32,01:14.7
2023,monaco,11,Valtteri,Bottas,77,14,29,01:14.7
2023,monaco,12,Kevin,Magnussen,20,17,29,01:14.7
2023,monaco,13,Yuki,Tsunoda,22,8,29,01:14.8
2023,monaco,14,Pierre,Gasly,10,16,30,01:14.9
2023,monaco,15,George,Russell,63,16,24,01:15.1
2023,monaco,16,Nyck,De Vries,21,8,33,01:15.1
2023,monaco,17,Oscar,Piastri,81,16,32,01:15.2
2023,monaco,18,Logan,Sargeant,2,16,30,01:15.6
2023,monaco,19,Zhou,Guanyu,24,14,25,01:15.7
2023,monaco,20,Nico,Hulkenberg,27,17,17,01:15.8
2023,spain,1,Max,Verstappen,1,16,32,01:14.6
2023,spain,2,Sergio,Perez,11,16,32,01:15.4
2023,spain,3,Esteban,Ocon,31,16,28,01:15.4
2023,spain,4,Nyck,De Vries,21,8,27,01:15.5
2023,spain,5,Pierre,Gasly,10,16,27,01:15.5
2023,spain,6,Fernando,Alonso,14,16,24,01:15.5
2023,spain,7,Kevin,Magnussen,20,17,22,01:15.7
2023,spain,8,Charles,Leclerc,16,8,28,01:15.7
2023,spain,9,Carlos,Sainz,55,8,27,01:15.7
2023,spain,10,George,Russell,63,16,32,01:15.8
2023,spain,11,Lando,Norris,4,16,25,01:15.8
2023,spain,12,Lewis,Hamilton,44,16,29,01:15.8
2023,spain,13,Zhou,Guanyu,24,14,24,01:15.9
2023,spain,14,Yuki,Tsunoda,22,8,27,01:15.9
2023,spain,15,Lance,Stroll,18,16,25,01:15.9
2023,spain,16,Valtteri,Bottas,77,14,24,01:16.0
2023,spain,17,Oscar,Piastri,81,16,26,01:16.4
2023,spain,18,Nico,Hulkenberg,27,17,28,01:16.5
2023,spain,19,Logan,Sargeant,2,16,30,01:16.5
2023,spain,20,Alexander,Albon,23,16,28,01:16.6
2023,canada,1,Valtteri,Bottas,77,14,3,01:18.7
2023,canada,2,Lance,Stroll,18,16,3,01:19.2
2023,canada,3,Fernando,Alonso,14,16,3,01:19.8
2023,canada,4,Sergio,Perez,11,16,3,01:20.2
2023,canada,5,Max,Verstappen,1,16,3,01:20.2
2023,canada,6,Oscar,Piastri,81,16,3,01:21.5
2023,canada,7,Kevin,Magnussen,20,17,3,01:24.0
2023,canada,8,Nico,Hulkenberg,27,17,3,01:24.3
2023,canada,9,Zhou,Guanyu,24,14,3,01:25.0
2023,canada,10,Carlos,Sainz,55,8,3,01:26.0
2023,canada,11,Charles,Leclerc,16,8,3,01:26.8
2023,canada,12,Nyck,De Vries,21,8,3,01:32.3
2023,canada,13,Yuki,Tsunoda,22,8,2,
2023,canada,14,Lando,Norris,4,16,2,
2023,canada,15,Pierre,Gasly,10,16,1,
2023,canada,16,Alexander,Albon,23,16,1,
2023,canada,17,Logan,Sargeant,2,16,2,
2023,austria,1,Max,Verstappen,1,16,30,01:05.7
2023,austria,2,Carlos,Sainz,55,8,32,01:06.0
2023,austria,3,Charles,Leclerc,16,8,33,01:06.0
2023,austria,4,Lewis,Hamilton,44,16,34,01:06.3
2023,austria,5,Sergio,Perez,11,16,32,01:06.3
2023,austria,6,Lance,Stroll,18,16,29,01:06.3
2023,austria,7,Kevin,Magnussen,20,17,27,01:06.5
2023,austria,8,Fernando,Alonso,14,16,31,01:06.7
2023,austria,9,George,Russell,63,16,28,01:06.7
2023,austria,10,Zhou,Guanyu,24,14,33,01:06.8
2023,austria,11,Alexander,Albon,23,16,23,01:06.8
2023,austria,12,Oscar,Piastri,81,16,36,01:06.8
2023,austria,13,Nico,Hulkenberg,27,17,30,01:06.8
2023,austria,14,Valtteri,Bottas,77,14,33,01:06.8
2023,austria,15,Yuki,Tsunoda,22,8,34,01:07.0
2023,austria,16,Nyck,De Vries,21,8,36,01:07.0
2023,austria,17,Logan,Sargeant,2,16,25,01:07.0
2023,austria,18,Esteban,Ocon,31,16,30,01:07.2
2023,austria,19,Pierre,Gasly,10,16,28,01:07.3
2023,austria,20,Lando,Norris,4,16,20,01:07.4
2023,great-britain,1,Max,Verstappen,1,16,26,01:28.6
2023,great-britain,2,Sergio,Perez,11,16,22,01:29.0
2023,great-britain,3,Alexander,Albon,23,16,22,01:29.1
2023,great-britain,4,Fernando,Alonso,14,16,21,01:29.3
2023,great-britain,5,Charles,Leclerc,16,8,25,01:29.3
2023,great-britain,6,Esteban,Ocon,31,16,23,01:29.3
2023,great-britain,7,Carlos,Sainz,55,8,25,01:29.4
2023,great-britain,8,Lando,Norris,4,16,25,01:29.4
2023,great-britain,9,Lance,Stroll,18,16,26,01:29.5
2023,great-britain,10,Oscar,Piastri,81,16,16,01:29.7
2023,great-britain,11,Nyck,De Vries,21,8,26,01:29.7
2023,great-britain,12,Lewis,Hamilton,44,16,23,01:29.8
2023,great-britain,13,Pierre,Gasly,10,16,24,01:29.8
2023,great-britain,14,George,Russell,63,16,28,01:29.9
2023,great-britain,15,Valtteri,Bottas,77,14,22,01:30.1
2023,great-britain,16,Yuki,Tsunoda,22,8,28,01:30.1
2023,great-britain,17,Logan,Sargeant,2,16,24,01:30.1
2023,great-britain,18,Zhou,Guanyu,24,14,20,01:30.3
2023,great-britain,19,Kevin,Magnussen,20,17,21,01:30.4
2023,great-britain,20,Nico,Hulkenberg,27,17,22,01:30.6
2023,hungary,1,George,Russell,63,16,13,01:38.8
2023,hungary,2,Oscar,Piastri,81,16,14,01:39.2
2023,hungary,3,Lance,Stroll,18,16,10,01:40.0
2023,hungary,4,Lando,Norris,4,16,13,01:40.3
2023,hungary,5,Fernando,Alonso,14,16,8,01:40.7
2023,hungary,6,Valtteri,Bottas,77,14,14,01:41.0
2023,hungary,7,Charles,Leclerc,16,8,11,01:41.1
2023,hungary,8,Zhou,Guanyu,24,14,9,01:41.4
2023,hungary,9,Logan,Sargeant,2,16,15,01:41.4
2023,hungary,10,Nico,Hulkenberg,27,17,12,01:42.7
2023,hungary,11,Kevin,Magnussen,20,17,14,01:42.9
2023,hungary,12,Yuki,Tsunoda,22,8,7,01:45.6
2023,hungary,13,Alexander,Albon,23,16,10,01:47.4
2023,hungary,14,Daniel,Ricciardo,3,8,7,
2023,hungary,15,Carlos,Sainz,55,8,6,
2023,hungary,16,Sergio,Perez,11,16,2,
2023,hungary,17,Esteban,Ocon,31,16,4,
2023,hungary,18,Pierre,Gasly,10,16,3,
2023,hungary,19,Max,Verstappen,1,16,4,
2023,hungary,20,Lewis,Hamilton,44,16,3,
2023,belgium,1,Carlos,Sainz,55,8,9,02:03.2
2023,belgium,2,Oscar,Piastri,81,16,4,02:03.8
2023,belgium,3,Lando,Norris,4,16,4,02:04.5
2023,belgium,4,Charles,Leclerc,16,8,8,02:08.1
2023,belgium,5,Sergio,Perez,11,16,5,02:08.2
2023,belgium,6,Alexander,Albon,23,16,5,02:08.4
2023,belgium,7,Yuki,Tsunoda,22,8,8,02:09.1
2023,belgium,8,Kevin,Magnussen,20,17,7,02:09.2
2023,belgium,9,Daniel,Ricciardo,3,8,7,02:09.3
2023,belgium,10,Nico,Hulkenberg,27,17,8,02:10.0
2023,belgium,11,Fernando,Alonso,14,16,4,02:10.3
2023,belgium,12,Lewis,Hamilton,44,16,7,02:10.3
2023,belgium,13,George,Russell,63,16,7,02:10.5
2023,belgium,14,Valtteri,Bottas,77,14,9,02:12.1
2023,belgium,15,Zhou,Guanyu,24,14,8,02:14.0
2023,belgium,16,Logan,Sargeant,2,16,4,
2023,belgium,17,Lance,Stroll,18,16,5,
2023,belgium,18,Pierre,Gasly,10,16,2,
2023,belgium,19,Esteban,Ocon,31,16,2,
2023,belgium,20,Max,Verstappen,1,16,2,
2023,netherlands,1,Max,Verstappen,1,16,31,01:11.9
2023,netherlands,2,Fernando,Alonso,14,16,22,01:12.1
2023,netherlands,3,Lewis,Hamilton,44,16,24,01:12.2
2023,netherlands,4,Sergio,Perez,11,16,27,01:12.3
2023,netherlands,5,Alexander,Albon,23,16,25,01:12.4
2023,netherlands,6,Lando,Norris,4,16,22,01:12.5
2023,netherlands,7,Logan,Sargeant,2,16,30,01:12.6
2023,netherlands,8,Oscar,Piastri,81,16,21,01:12.7
2023,netherlands,9,Yuki,Tsunoda,22,8,21,01:12.7
2023,netherlands,10,Esteban,Ocon,31,16,29,01:12.8
2023,netherlands,11,George,Russell,63,16,23,01:12.8
2023,netherlands,12,Pierre,Gasly,10,16,30,01:12.9
2023,netherlands,13,Daniel,Ricciardo,3,8,26,01:13.0
2023,netherlands,14,Kevin,Magnussen,20,17,30,01:13.3
2023,netherlands,15,Valtteri,Bottas,77,14,30,01:13.4
2023,netherlands,16,Charles,Leclerc,16,8,26,01:13.5
2023,netherlands,17,Zhou,Guanyu,24,14,20,01:13.8
2023,netherlands,18,Nico,Hulkenberg,27,17,13,01:14.0
2023,netherlands,19,Robert,Shwartzman,39,8,25,01:14.8
2023,netherlands,20,Lance,Stroll,18,16,2,
2023,italy,1,Max,Verstappen,1,16,31,01:22.7
2023,italy,2,Carlos,Sainz,55,8,28,01:22.7
2023,italy,3,Sergio,Perez,11,16,30,01:22.8
2023,italy,4,Charles,Leclerc,16,8,22,01:23.0
2023,italy,5,George,Russell,63,16,28,01:23.2
2023,italy,6,Fernando,Alonso,14,16,24,01:23.2
2023,italy,7,Lando,Norris,4,16,22,01:23.2
2023,italy,8,Lewis,Hamilton,44,16,26,01:23.3
2023,italy,9,Yuki,Tsunoda,22,8,23,01:23.3
2023,italy,10,Alexander,Albon,23,16,18,01:23.4
2023,italy,11,Oscar,Piastri,81,16,24,01:23.4
2023,italy,12,Logan,Sargeant,2,16,21,01:23.7
2023,italy,13,Liam,Lawson,40,8,29,01:23.8
2023,italy,14,Pierre,Gasly,10,16,26,01:23.9
2023,italy,15,Valtteri,Bottas,77,14,17,01:24.0
2023,italy,16,Nico,Hulkenberg,27,17,23,01:24.1
2023,italy,17,Esteban,Ocon,31,16,26,01:24.1
2023,italy,18,Felipe,Drugovich,34,16,24,01:24.1
2023,italy,19,Kevin,Magnussen,20,17,24,01:24.2
2023,italy,20,Zhou,Guanyu,24,14,17,01:24.2
2023,singapore,1,Charles,Leclerc,16,8,25,01:33.4
2023,singapore,2,Carlos,Sainz,55,8,24,01:33.4
2023,singapore,3,Max,Verstappen,1,16,22,01:33.5
2023,singapore,4,Lando,Norris,4,16,24,01:33.5
2023,singapore,5,Lewis,Hamilton,44,16,21,01:33.5
2023,singapore,6,George,Russell,63,16,25,01:33.7
2023,singapore,7,Sergio,Perez,11,16,22,01:33.7
2023,singapore,8,Fernando,Alonso,14,16,28,01:34.0
2023,singapore,9,Yuki,Tsunoda,22,8,25,01:34.0
2023,singapore,10,Esteban,Ocon,31,16,24,01:34.1
2023,singapore,11,Lance,Stroll,18,16,25,01:34.6
2023,singapore,12,Pierre,Gasly,10,16,23,01:34.6
2023,singapore,13,Alexander,Albon,23,16,19,01:34.7
2023,singapore,14,Valtteri,Bottas,77,14,25,01:34.8
2023,singapore,15,Kevin,Magnussen,20,17,23,01:34.9
2023,singapore,16,Liam,Lawson,40,8,27,01:34.9
2023,singapore,17,Nico,Hulkenberg,27,17,22,01:35.0
2023,singapore,18,Zhou,Guanyu,24,14,25,01:35.5
2023,singapore,19,Oscar,Piastri,81,16,22,01:35.5
2023,singapore,20,Logan,Sargeant,2,16,24,01:35.8
2023,japan,1,Max,Verstappen,1,16,25,01:31.6
2023,japan,2,Carlos,Sainz,55,8,24,01:32.3
2023,japan,3,Lando,Norris,4,16,24,01:32.4
2023,japan,4,Charles,Leclerc,16,8,25,01:32.6
2023,japan,5,Yuki,Tsunoda,22,8,21,01:32.6
2023,japan,6,Fernando,Alonso,14,16,23,01:32.7
2023,japan,7,Oscar,Piastri,81,16,26,01:32.7
2023,japan,8,Alexander,Albon,23,16,24,01:33.0
2023,japan,9,Liam,Lawson,40,8,28,01:33.0
2023,japan,10,Lance,Stroll,18,16,17,01:33.0
2023,japan,11,Sergio,Perez,11,16,25,01:33.0
2023,japan,12,Pierre,Gasly,10,16,23,01:33.1
2023,japan,13,George,Russell,63,16,24,01:33.3
2023,japan,14,Nico,Hulkenberg,27,17,24,01:33.4
2023,japan,15,Esteban,Ocon,31,16,22,01:33.5
2023,japan,16,Lewis,Hamilton,44,16,22,01:33.7
2023,japan,17,Valtteri,Bottas,77,14,24,01:33.9
2023,japan,18,Kevin,Magnussen,20,17,23,01:34.0
2023,japan,19,Logan,Sargeant,2,16,27,01:34.2
2023,japan,20,Zhou,Guanyu,24,14,23,01:34.8
2023,qatar,1,Max,Verstappen,1,16,26,01:27.4
2023,qatar,2,Carlos,Sainz,55,8,27,01:27.8
2023,qatar,3,Charles,Leclerc,16,8,27,01:27.9
2023,qatar,4,Fernando,Alonso,14,16,28,01:27.9
2023,qatar,5,Sergio,Perez,11,16,24,01:28.0
2023,qatar,6,Yuki,Tsunoda,22,8,28,01:28.0
2023,qatar,7,Nico,Hulkenberg,27,17,22,01:28.2
2023,qatar,8,George,Russell,63,16,28,01:28.3
2023,qatar,9,Oscar,Piastri,81,16,20,01:28.4
2023,qatar,10,Lando,Norris,4,16,24,01:28.4
2023,qatar,11,Logan,Sargeant,2,16,25,01:28.5
2023,qatar,12,Alexander,Albon,23,16,26,01:28.6
2023,qatar,13,Lewis,Hamilton,44,16,26,01:28.7
2023,qatar,14,Lance,Stroll,18,16,28,01:28.7
2023,qatar,15,Esteban,Ocon,31,16,25,01:28.7
2023,qatar,16,Pierre,Gasly,10,16,23,01:28.8
2023,qatar,17,Valtteri,Bottas,77,14,27,01:29.0
2023,qatar,18,Zhou,Guanyu,24,14,29,01:29.1
2023,qatar,19,Liam,Lawson,40,8,29,01:29.2
2023,qatar,20,Kevin,Magnussen,20,17,26,01:29.5
2023,united-states,1,Max,Verstappen,1,16,23,01:35.9
2023,united-states,2,Charles,Leclerc,16,8,25,01:36.1
2023,united-states,3,Lewis,Hamilton,44,16,23,01:36.2
2023,united-states,4,Sergio,Perez,11,16,23,01:36.2
2023,united-states,5,Kevin,Magnussen,20,17,21,01:36.5
2023,united-states,6,George,Russell,63,16,25,01:36.5
2023,united-states,7,Alexander,Albon,23,16,21,01:36.5
2023,united-states,8,Carlos,Sainz,55,8,24,01:36.5
2023,united-states,9,Nico,Hulkenberg,27,17,21,01:36.7
2023,united-states,10,Pierre,Gasly,10,16,22,01:36.7
2023,united-states,11,Logan,Sargeant,2,16,26,01:37.0
2023,united-states,12,Esteban,Ocon,31,16,22,01:37.1
2023,united-states,13,Yuki,Tsunoda,22,8,25,01:37.1
2023,united-states,14,Daniel,Ricciardo,3,8,24,01:37.2
2023,united-states,15,Lando,Norris,4,16,21,01:37.3
2023,united-states,16,Zhou,Guanyu,24,14,25,01:37.4
2023,united-states,17,Valtteri,Bottas,77,14,24,01:37.5
2023,united-states,18,Fernando,Alonso,14,16,19,01:37.8
2023,united-states,19,Oscar,Piastri,81,16,22,01:38.4
2023,united-states,20,Lance,Stroll,18,16,5,01:39.9
2023,mexico,1,Max,Verstappen,1,16,29,01:19.7
2023,mexico,2,Alexander,Albon,23,16,31,01:19.8
2023,mexico,3,Sergio,Perez,11,16,28,01:20.0
2023,mexico,4,Lando,Norris,4,16,30,01:20.2
2023,mexico,5,Charles,Leclerc,16,8,30,01:20.3
2023,mexico,6,Oscar,Piastri,81,16,32,01:20.5
2023,mexico,7,Carlos,Sainz,55,8,23,01:20.5
2023,mexico,8,Daniel,Ricciardo,3,8,30,01:20.6
2023,mexico,9,Esteban,Ocon,31,16,26,01:20.7
2023,mexico,10,Lance,Stroll,18,16,26,01:20.7
2023,mexico,11,Lewis,Hamilton,44,16,25,01:20.7
2023,mexico,12,Nico,Hulkenberg,27,17,29,01:21.0
2023,mexico,13,Zhou,Guanyu,24,14,27,01:21.1
2023,mexico,14,Logan,Sargeant,2,16,30,01:21.2
2023,mexico,15,Oliver,Bearman,50,17,31,01:21.3
2023,mexico,16,Fernando,Alonso,14,16,17,01:21.3
2023,mexico,17,Isack,Hadjar,41,8,25,01:21.9
2023,mexico,18,Jack,Doohan,61,16,25,01:22.1
2023,mexico,19,Frederik,Vesti,42,16,26,01:22.9
2023,mexico,20,Theo,Pourchaire,98,14,4,
2023,brazil,1,Carlos,Sainz,55,8,30,01:11.7
2023,brazil,2,Charles,Leclerc,16,8,32,01:11.8
2023,brazil,3,George,Russell,63,16,31,01:11.9
2023,brazil,4,Nico,Hulkenberg,27,17,19,01:11.9
2023,brazil,5,Alexander,Albon,23,16,28,01:12.0
2023,brazil,6,Lance,Stroll,18,16,26,01:12.1
2023,brazil,7,Pierre,Gasly,10,16,31,01:12.2
2023,brazil,8,Zhou,Guanyu,24,14,27,01:12.5
2023,brazil,9,Logan,Sargeant,2,16,30,01:12.6
2023,brazil,10,Kevin,Magnussen,20,17,24,01:12.6
2023,brazil,11,Fernando,Alonso,14,16,28,01:12.6
2023,brazil,12,Lewis,Hamilton,44,16,30,01:12.6
2023,brazil,13,Yuki,Tsunoda,22,8,29,01:12.7
2023,brazil,14,Daniel,Ricciardo,3,8,27,01:12.8
2023,brazil,15,Esteban,Ocon,31,16,30,01:12.8
2023,brazil,16,Max,Verstappen,1,16,30,01:12.8
2023,brazil,17,Valtteri,Bottas,77,14,31,01:13.0
2023,brazil,18,Sergio,Perez,11,16,31,01:13.1
2023,brazil,19,Lando,Norris,4,16,25,01:13.6
2023,brazil,20,Oscar,Piastri,81,16,28,01:13.8
2023,wimmer,1,George,Russell,63,3,18,01:30.1
2023,wimmer,2,Lewis,Hamilton,44,3,24,01:30.3
2023,wimmer,3,Charles,Leclerc,16,2,23,01:30.4
2023,wimmer,4,Max,Verstappen,1,0,22,01:30.5
2023,wimmer,5,Carlos,Sainz,55,2,23,01:30.7
2023,wimmer,6,Pierre,Gasly,10,5,20,01:31.1
2023,wimmer,7,Fernando,Alonso,14,1,24,01:31.2
2023,wimmer,8,Christopher,Hopstetter,78,1,24,01:31.3
2023,wimmer,9,Nico,Hulkenberg,27,8,14,01:31.4
2023,wimmer,10,Alejandro,Martinez,76,5,27,01:31.5
2023,wimmer,11,Sergio,Perez,11,0,22,01:31.6
2023,wimmer,12,Oscar,Piastri,81,9,24,01:31.8
2023,wimmer,13,Kevin,Magnussen,20,8,25,01:31.9
2023,wimmer,14,Valtteri,Bottas,77,4,24,01:31.9
2023,wimmer,15,Alexander,Albon,23,6,25,01:31.9
2023,wimmer,16,Lando,Norris,4,9,23,01:32.0
2023,wimmer,17,Zhou,Guanyu,24,4,22,01:32.1
2023,wimmer,18,Yuki,Tsunoda,22,7,28,01:32.2
2023,wimmer,19,David,McDade,46,6,27,01:32.6
2023,wimmer,20,Daniel,Ricciardo,3,7,10,01:34.6
