Practice ID,Practice Type,Driver ID,Event ID,Position,Time,Laps Completed
1,1,1.0,1,1,01:32.8,21
2,1,2.0,1,2,01:33.2,22
3,1,0.0,1,3,01:33.4,21
4,1,16.0,1,4,01:34.2,21
5,1,18.0,1,5,01:34.3,17
6,1,5.0,1,6,01:34.3,17
7,1,12.0,1,7,01:34.4,20
8,1,15.0,1,8,01:34.6,18
9,1,7.0,1,9,01:34.7,20
10,1,4.0,1,10,01:34.9,13
11,1,6.0,1,11,01:35.0,20
12,1,19.0,1,12,01:35.0,24
13,1,10.0,1,13,01:35.0,20
14,1,14.0,1,14,01:35.0,22
15,1,17.0,1,15,01:35.1,20
16,1,13.0,1,16,01:35.4,25
17,1,8.0,1,17,01:35.5,22
18,1,11.0,1,18,01:35.7,24
19,1,9.0,1,19,01:36.0,15
20,1,3.0,1,20,01:36.1,21
21,1,0.0,2,1,01:29.6,18
22,1,1.0,2,2,01:30.1,20
23,1,2.0,2,3,01:30.3,22
24,1,5.0,2,4,01:30.6,20
25,1,6.0,2,5,01:30.8,26
26,1,4.0,2,6,01:30.8,26
27,1,3.0,2,7,01:30.9,23
28,1,8.0,2,8,01:30.9,24
29,1,9.0,2,9,01:31.0,23
30,1,10.0,2,10,01:31.1,25
31,1,18.0,2,11,01:31.1,26
32,1,17.0,2,12,01:31.2,22
33,1,13.0,2,13,01:31.5,29
34,1,19.0,2,14,01:31.5,24
35,1,14.0,2,15,01:31.6,22
36,1,12.0,2,16,01:31.6,23
37,1,11.0,2,17,01:31.9,26
38,1,7.0,2,18,01:32.0,25
39,1,15.0,2,19,01:32.0,22
40,1,16.0,2,20,01:32.1,21
41,1,0.0,3,1,01:18.8,17
42,1,4.0,3,2,01:19.2,20
43,1,1.0,3,3,01:19.3,19
44,1,2.0,3,4,01:19.3,23
45,1,18.0,3,5,01:19.4,16
46,1,3.0,3,6,01:19.5,20
47,1,16.0,3,7,01:19.5,16
48,1,8.0,3,8,01:19.6,22
49,1,6.0,3,9,01:19.7,23
50,1,5.0,3,10,01:19.8,19
51,1,9.0,3,11,01:19.8,21
52,1,19.0,3,12,01:19.8,22
53,1,14.0,3,13,01:19.8,19
54,1,13.0,3,14,01:19.9,25
55,1,11.0,3,15,01:20.1,21
56,1,17.0,3,16,01:20.2,20
57,1,10.0,3,17,01:20.4,14
58,1,7.0,3,18,01:20.4,21
59,1,15.0,3,19,01:20.6,22
60,1,12.0,3,20,01:21.1,17
61,1,0.0,4,1,01:42.3,22
62,1,18.0,4,2,01:42.4,21
63,1,1.0,4,3,01:42.5,22
64,1,3.0,4,4,01:42.9,23
65,1,16.0,4,5,01:43.1,22
66,1,13.0,4,6,01:43.4,24
67,1,5.0,4,7,01:43.5,23
68,1,2.0,4,8,01:43.6,20
69,1,9.0,4,9,01:43.6,25
70,1,15.0,4,10,01:43.7,23
71,1,4.0,4,11,01:43.8,21
72,1,19.0,4,12,01:44.0,23
73,1,7.0,4,13,01:44.0,23
74,1,10.0,4,14,01:44.1,18
