Qualifying ID,Qualifying Type,Driver ID,Event ID,Position,Laps Completed,Q1,Q2,Q3
1,1,0,1,1,15,01:31.3,01:30.5,01:29.7
2,1,1,1,2,15,01:31.5,01:30.7,01:29.8
3,1,18,1,3,17,01:31.1,01:30.3,01:30.0
4,1,3,1,4,18,01:31.0,01:30.5,01:30.2
5,1,2,1,5,15,01:31.2,01:30.6,01:30.3
6,1,6,1,6,15,01:31.1,01:30.5,01:30.3
7,1,4,1,7,15,01:31.5,01:30.5,01:30.4
8,1,5,1,8,18,01:31.2,01:31.1,01:30.8
9,1,17,1,9,15,01:31.5,01:30.9,01:31.0
10,1,14,1,10,17,01:31.2,01:30.8,DNF
11,1,16,1,11,13,01:31.7,01:31.4,
12,1,7,1,12,12,01:31.5,01:31.4,
13,1,15,1,13,12,01:31.6,01:31.5,
14,1,10,1,14,15,01:31.4,01:32.5,
15,1,9,1,15,8,01:31.5,DNF,
16,1,11,1,16,6,01:31.7,,
17,1,12,1,17,6,01:31.9,,
18,1,19,1,18,7,01:32.1,,
19,1,13,1,19,9,01:32.1,,
20,1,8,1,20,6,01:32.2,,
21,1,1,2,1,18,01:29.2,01:28.6,01:28.3
22,1,18,2,2,19,01:29.4,01:28.9,01:28.4
23,1,2,2,3,18,01:29.3,01:28.8,01:28.7
24,1,6,2,4,21,01:29.6,01:29.1,01:28.9
25,1,3,2,5,24,01:29.4,01:29.0,01:28.9
26,1,5,2,6,20,01:29.3,01:29.0,01:28.9
27,1,17,2,7,24,01:29.7,01:29.3,01:29.1
28,1,4,2,8,21,01:29.7,01:29.4,01:29.2
29,1,19,2,9,23,01:29.7,01:29.4,01:29.2
30,1,8,2,10,23,01:29.9,01:29.4,01:29.4
31,1,14,2,11,18,01:29.5,01:29.5,
32,1,15,2,12,18,01:29.7,01:29.5,
33,1,12,2,13,17,01:29.7,01:29.6,
34,1,7,2,14,18,01:29.9,01:29.7,
35,1,0,2,15,6,01:28.8,01:50.0,
36,1,10,2,16,10,01:29.9,,
37,1,9,2,17,9,01:30.0,,
38,1,13,2,18,10,01:30.2,,
39,1,16,2,19,4,01:30.4,,
40,1,11,2,20,8,02:08.5,,
41,1,0,3,1,24,01:17.4,01:17.1,01:16.7
42,1,6,3,2,29,01:17.7,01:17.5,01:17.0
43,1,4,3,3,28,01:17.7,01:17.6,01:17.1
44,1,2,3,4,26,01:17.8,01:17.3,01:17.1
45,1,3,3,5,28,01:17.9,01:17.3,01:17.3
46,1,5,3,6,26,01:17.9,01:17.6,01:17.3
47,1,18,3,7,25,01:18.2,01:17.4,01:17.4
48,1,9,3,8,27,01:18.0,01:17.8,01:17.6
49,1,8,3,9,25,01:18.3,01:17.6,01:17.7
50,1,14,3,10,26,01:18.0,01:17.4,01:17.7
