Race ID,Race Type,Driver ID,Event ID,Position,Time,Laps Completed,Points
1,1,0,1,1,1:33:56.736,57,25
2,1,1,1,2,01:34:08.723,57,18
3,1,2,1,3,01:34:35.373,57,15
4,1,3,1,4,01:34:44.788,57,12
5,1,4,1,5,01:34:47.713,57,10
6,1,5,1,6,01:34:51.238,57,8
7,1,6,1,7,01:34:52.609,57,6
8,1,7,1,8,01:35:09.383,57,4
9,1,8,1,9,01:35:10.489,57,2
10,1,9,1,10,01:35:26.510,57,1
11,1,10,1,11,01:35:27.606,57,0
12,1,11,1,12,+1 lap,56,0
13,1,12,1,13,+1 lap,56,0
14,1,13,1,14,+1 lap,56,0
15,1,14,1,15,+1 lap,56,0
16,1,15,1,16,+1 lap,56,0
17,1,16,1,17,+2 laps,55,0
18,1,17,1,18,DNF,41,0
19,1,18,1,19,DNF,39,0
20,1,19,1,20,DNF,13,0
21,1,1,2,1,1:21:14.894,50,25
22,1,0,2,2,01:21:20.249,50,19
23,1,2,2,3,01:21:35.622,50,15
24,1,6,2,4,01:21:40.760,50,12
25,1,4,2,5,01:21:45.959,50,10
26,1,3,2,6,01:21:50.770,50,8
27,1,18,2,7,01:21:58.056,50,6
28,1,17,2,8,01:22:07.726,50,4
29,1,8,2,9,01:22:09.641,50,2
30,1,12,2,10,01:22:19.720,50,1
31,1,10,2,11,01:22:22.388,50,0
32,1,14,2,12,01:22:25.482,50,0
33,1,15,2,13,01:22:30.954,50,0
34,1,13,2,14,01:22:32.372,50,0
35,1,19,2,15,01:22:39.915,50,0
36,1,11,2,16,01:22:41.187,50,0
37,1,16,2,17,01:22:41.339,50,0
38,1,7,2,18,+1 lap,49,0
39,1,9,2,19,DNF,27,0
40,1,5,2,20,DNF,16,0
41,1,0,3,1,2:32:38.371,58,25
42,1,4,3,2,02:32:38.550,58,18
43,1,2,3,3,02:32:39.140,58,15
44,1,5,3,4,02:32:41.453,58,12
45,1,1,3,5,02:32:41.691,58,11
46,1,16,3,6,02:32:42.072,58,8
47,1,14,3,7,02:32:43.310,58,6
48,1,19,3,8,02:32:43.753,58,4
49,1,15,3,9,02:32:44.084,58,2
50,1,10,3,10,02:32:44.423,58,1
51,1,7,3,11,02:32:44.884,58,0
52,1,3,3,12,02:32:44.965,58,0
53,1,8,3,13,DNF,56,0
54,1,17,3,14,DNF,56,0
55,1,13,3,15,DNF,56,0
56,1,11,3,16,DNF,56,0
57,1,12,3,17,DNF,52,0
58,1,6,3,18,DNF,17,0
59,1,9,3,19,DNF,6,0
60,1,18,3,20,DNF,0,0
61,1,1,4,1,1:32:42.436,51,25
62,1,0,4,2,01:32:44.573,51,18
63,1,18,4,3,01:33:03.653,51,15
64,1,2,4,4,01:33:04.460,51,12
65,1,3,4,5,01:33:27.927,51,10
66,1,4,4,6,01:33:28.581,51,8
67,1,5,4,7,01:33:34.053,51,6
68,1,6,4,8,01:33:56.676,51,5
69,1,16,4,9,01:34:02.812,51,2
70,1,10,4,10,01:34:06.298,51,1
71,1,19,4,11,01:34:08.937,51,0
72,1,9,4,12,01:34:11.059,51,0
73,1,12,4,13,01:34:12.165,51,0
74,1,8,4,14,01:34:13.768,51,0
75,1,17,4,15,01:34:20.230,51,0
76,1,11,4,16,01:34:23.379,51,0
77,1,14,4,17,+1 lap,50,0
78,1,7,4,18,+1 lap,50,0
79,1,15,4,19,DNF,36,0
80,1,13,4,20,DNF,9,0
81,1,0,5,1,1:27:38.241,57,26
82,1,1,5,2,01:27:43.625,57,18
83,1,2,5,3,01:28:04.546,57,15
84,1,6,5,4,01:28:11.470,57,12
85,1,3,5,5,01:28:20.752,57,10
86,1,4,5,6,01:28:29.490,57,8
87,1,18,5,7,01:28:31.229,57,6
88,1,8,5,8,01:28:33.911,57,4
89,1,17,5,9,01:28:36.364,57,2
90,1,12,5,10,01:28:41.186,57,1
91,1,10,5,11,01:28:42.550,57,0
92,1,5,5,12,01:28:42.995,57,0
93,1,7,5,13,01:28:49.878,57,0
94,1,9,5,14,01:28:51.102,57,0
95,1,14,5,15,01:28:53.191,57,0
96,1,15,5,16,01:28:56.681,57,0
97,1,16,5,17,01:29:05.958,57,0
98,1,13,5,18,01:29:07.190,57,0
99,1,19,5,19,+1 lap,56,0
100,1,11,5,20,+1 lap,56,0
101,1,0,6,1,1:48:51.980,78,25
102,1,2,6,2,01:49:19.901,78,18
103,1,17,6,3,01:49:28.970,78,15
104,1,4,6,4,01:49:31.042,78,13
105,1,6,6,5,01:49:48.264,78,10
106,1,18,6,6,01:49:53.870,78,8
107,1,8,6,7,01:49:54.342,78,6
108,1,3,6,8,01:49:55.371,78,4
109,1,16,6,9,+1 lap,77,2
110,1,19,6,10,+1 lap,77,1
111,1,7,6,11,+1 lap,77,0
112,1,13,6,12,+1 lap,77,0
113,1,15,6,13,+1 lap,77,0
114,1,9,6,14,+1 lap,77,0
115,1,10,6,15,+2 laps,76,0
116,1,1,6,16,+2 laps,76,0
117,1,14,6,17,+2 laps,76,0
118,1,11,6,18,+2 laps,76,0
119,1,12,6,19,DNF,70,0
120,1,5,6,20,DNF,53,0
121,1,0,7,1,1:27:57.940,66,26
122,1,4,7,2,01:28:22.030,66,18
123,1,6,7,3,01:28:30.329,66,15
124,1,1,7,4,01:28:33.752,66,12
125,1,3,7,5,01:28:43.638,66,10
126,1,5,7,6,01:29:01.260,66,8
127,1,2,7,7,01:29:02.067,66,6
128,1,17,7,8,01:29:07.182,66,4
129,1,15,7,9,01:29:09.818,66,2
130,1,8,7,10,01:29:11.470,66,1
131,1,18,7,11,01:29:12.359,66,0
132,1,10,7,12,01:29:13.356,66,0
133,1,19,7,13,+1 lap,65,0
134,1,13,7,14,+1 lap,65,0
135,1,14,7,15,+1 lap,65,0
136,1,9,7,16,+1 lap,65,0
137,1,16,7,17,+1 lap,65,0
138,1,12,7,18,+1 lap,65,0
139,1,7,7,19,+1 lap,65,0
140,1,11,7,20,+1 lap,65,0
141,1,0,8,1,1:33:58.348,70,25
142,1,2,8,2,01:34:07.918,70,18
143,1,4,8,3,01:34:12.516,70,15
144,1,18,8,4,01:34:16.996,70,12
145,1,3,8,5,01:34:19.888,70,10
146,1,1,8,6,01:34:49.376,70,9
147,1,9,8,7,01:34:59.161,70,6
148,1,17,8,8,01:35:00.040,70,4
149,1,5,8,9,01:35:02.750,70,2
150,1,7,8,10,01:35:02.780,70,1
151,1,19,8,11,01:35:03.449,70,0
152,1,8,8,12,01:35:03.597,70,0
153,1,16,8,13,01:35:06.711,70,0
154,1,10,8,14,01:35:11.771,70,0
155,1,14,8,15,+1 lap,69,0
156,1,15,8,16,+1 lap,69,0
157,1,12,8,17,+1 lap,69,0
158,1,13,8,18,+1 lap,69,0
159,1,6,8,19,DNF,53,0
160,1,11,8,20,DNF,6,0
161,1,0,9,1,1:25:33.607,71,26
162,1,18,9,2,01:25:38.762,71,18
163,1,1,9,3,01:25:50.795,71,15
164,1,16,9,4,01:25:59.934,71,12
165,1,2,9,5,01:26:03.924,71,10
166,1,3,9,6,01:26:04.984,71,8
167,1,6,9,7,01:26:22.010,71,6
168,1,4,9,8,01:26:22.803,71,4
169,1,5,9,9,01:26:32.650,71,2
170,1,8,9,10,01:26:41.274,71,1
171,1,9,9,11,01:26:53.374,71,0
172,1,15,9,12,+1 lap,70,0
173,1,11,9,13,+1 lap,70,0
174,1,17,9,14,+1 lap,70,0
175,1,7,9,15,+1 lap,70,0
176,1,19,9,16,+1 lap,70,0
177,1,13,9,17,+1 lap,70,0
178,1,12,9,18,+1 lap,70,0
179,1,10,9,19,+1 lap,70,0
180,1,14,9,20,DNF,12,0
181,1,0,10,1,1:25:16.938,52,26
182,1,16,10,2,01:25:20.736,52,18
183,1,4,10,3,01:25:23.721,52,15
184,1,19,10,4,01:25:24.714,52,12
185,1,6,10,5,01:25:28.144,52,10
186,1,1,10,6,01:25:29.820,52,8
187,1,2,10,7,01:25:34.131,52,6
188,1,9,10,8,01:25:34.816,52,4
189,1,18,10,9,01:25:35.627,52,2
190,1,3,10,10,01:25:36.386,52,1
191,1,11,10,11,01:25:40.570,52,0
192,1,7,10,12,01:25:42.768,52,0
193,1,14,10,13,01:25:43.601,52,0
194,1,5,10,14,01:25:44.421,52,0
195,1,15,10,15,01:25:46.758,52,0
196,1,10,10,16,01:25:48.163,52,0
197,1,13,10,17,01:25:50.066,52,0
198,1,8,10,18,DNF,46,0
199,1,12,10,19,DNF,31,0
200,1,17,10,20,DNF,9,0
201,1,0,11,1,1:38:08.634,70,26
202,1,16,11,2,01:38:42.365,70,18
203,1,1,11,3,01:38:46.237,70,15
204,1,4,11,4,01:38:47.768,70,12
205,1,19,11,5,01:39:11.206,70,10
206,1,6,11,6,01:39:14.459,70,8
207,1,18,11,7,01:39:18.951,70,6
208,1,3,11,8,01:39:19.707,70,4
209,1,2,11,9,01:39:24.343,70,2
210,1,5,11,10,+1 lap,69,1
211,1,9,11,11,+1 lap,69,0
212,1,7,11,12,+1 lap,69,0
213,1,20,11,13,+1 lap,69,0
214,1,14,11,14,+1 lap,69,0
215,1,10,11,15,+1 lap,69,0
216,1,15,11,16,+1 lap,69,0
217,1,12,11,17,+1 lap,69,0
218,1,11,11,18,DNF,67,0
219,1,17,11,19,DNF,2,0
220,1,8,11,20,DNF,1,0
221,1,0,12,1,1:22:30.450,44,25
222,1,1,12,2,01:22:52.755,44,18
223,1,18,12,3,01:23:02.709,44,15
224,1,4,12,4,01:23:20.121,44,13
225,1,2,12,5,01:23:26.634,44,10
226,1,6,12,6,01:23:33.551,44,8
227,1,16,12,7,01:23:44.169,44,6
228,1,17,12,8,01:23:45.169,44,4
229,1,5,12,9,01:23:49.790,44,2
230,1,10,12,10,01:23:50.671,44,1
231,1,8,12,11,01:23:53.534,44,0
