Driver ID,First Name,Last Name,Racer Number,Team
0,Max,Verstappen,1,0
1,Sergio,Perez,11,0
2,Fernando,Alonso,14,1
3,Carlos,Sainz,55,2
4,Lewis,Hamilton,44,3
5,Lance,Stroll,18,1
6,George,Russell,63,3
7,Valtteri,Bottas,77,4
8,Pierre,Gasly,10,5
9,Alexander,Albon,23,6
10,Yuki,Tsunoda,22,7
11,Logan,Sargeant,2,6
12,Kevin,Magnussen,20,8
13,Nyck,De Vries,21,7
14,Nico,Hulkenberg,27,8
15,Zhou,Guanyu,24,4
16,Lando,Norris,4,9
17,Esteban,Ocon,31,5
18,Charles,Leclerc,16,2
19,Oscar,Piastri,81,9
20,Daniel,Ricciardo,3,7
21,Liam,Lawson,40,7
22,Robert,Shwartzman,39,2
23,Felipe,Drugovich,34,1
24,Oliver,Bearman,50,8
25,Isack,Hadjar,41,7
26,Jack,Doohan,61,5
27,Frederik,Vesti,42,3
28,Theo,Pourchaire,98,4
