Year,Race Name,Position,First Name,Last Name,Racer Number,Team,Laps Completed,Time
2023,bahrain,1,Sergio,Perez,11,16,21,1:32.758
2023,bahrain,2,Fernando,Alonso,14,16,22,1:33.196
2023,bahrain,3,Max,Verstappen,1,16,21,1:33.375
2023,bahrain,4,Lando,Norris,4,16,21,1:34.165
2023,bahrain,5,Charles,Leclerc,16,8,17,1:34.257
2023,bahrain,6,Lance,Stroll,18,16,17,1:34.298
2023,bahrain,7,Kevin,Magnussen,20,17,20,1:34.402
2023,bahrain,8,Zhou,Guanyu,24,14,18,1:34.575
2023,bahrain,9,Valtteri,Bottas,77,14,20,1:34.689
2023,bahrain,10,Lewis,Hamilton,44,16,13,1:34.917
2023,bahrain,11,George,Russell,63,16,20,1:34.966
2023,bahrain,12,Oscar,Piastri,81,16,24,1:34.997
2023,bahrain,13,Yuki,Tsunoda,22,8,20,1:35.015
2023,bahrain,14,Nico,Hulkenberg,27,17,22,1:35.043
2023,bahrain,15,Esteban,Ocon,31,16,20,1:35.105
2023,bahrain,16,Nyck,De Vries,21,8,25,1:35.402
2023,bahrain,17,Pierre,Gasly,10,16,22,1:35.455
2023,bahrain,18,Logan,Sargeant,2,16,24,1:35.749
2023,bahrain,19,Alexander,Albon,23,16,15,1:36.018
2023,bahrain,20,Carlos,Sainz,55,8,21,1:36.072
2023,saudi-arabia,1,Max,Verstappen,1,16,18,1:29.617
2023,saudi-arabia,2,Sergio,Perez,11,16,20,1:30.100
2023,saudi-arabia,3,Fernando,Alonso,14,16,22,1:30.315
2023,saudi-arabia,4,Lance,Stroll,18,16,20,1:30.577
2023,saudi-arabia,5,George,Russell,63,16,26,1:30.771
2023,saudi-arabia,6,Lewis,Hamilton,44,16,26,1:30.787
2023,saudi-arabia,7,Carlos,Sainz,55,8,23,1:30.924
2023,saudi-arabia,8,Pierre,Gasly,10,16,24,1:30.949
2023,saudi-arabia,9,Alexander,Albon,23,16,23,1:31.030
2023,saudi-arabia,10,Yuki,Tsunoda,22,8,25,1:31.110
2023,saudi-arabia,11,Charles,Leclerc,16,8,26,1:31.118
2023,saudi-arabia,12,Esteban,Ocon,31,16,22,1:31.181
2023,saudi-arabia,13,Nyck,De Vries,21,8,29,1:31.450
2023,saudi-arabia,14,Oscar,Piastri,81,16,24,1:31.491
2023,saudi-arabia,15,Nico,Hulkenberg,27,17,22,1:31.552
2023,saudi-arabia,16,Kevin,Magnussen,20,17,23,1:31.566
2023,saudi-arabia,17,Logan,Sargeant,2,16,26,1:31.922
2023,saudi-arabia,18,Valtteri,Bottas,77,14,25,1:31.970
2023,saudi-arabia,19,Zhou,Guanyu,24,14,22,1:31.986
2023,saudi-arabia,20,Lando,Norris,4,16,21,1:32.149
2023,australia,1,Max,Verstappen,1,16,17,1:18.790
2023,australia,2,Lewis,Hamilton,44,16,20,1:19.223
2023,australia,3,Sergio,Perez,11,16,19,1:19.293
2023,australia,4,Fernando,Alonso,14,16,23,1:19.317
2023,australia,5,Charles,Leclerc,16,8,16,1:19.378
2023,australia,6,Carlos,Sainz,55,8,20,1:19.505
2023,australia,7,Lando,Norris,4,16,16,1:19.536
2023,australia,8,Pierre,Gasly,10,16,22,1:19.646
2023,australia,9,George,Russell,63,16,23,1:19.699
2023,australia,10,Lance,Stroll,18,16,19,1:19.766
2023,australia,11,Alexander,Albon,23,16,21,1:19.766
2023,australia,12,Oscar,Piastri,81,16,22,1:19.777
2023,australia,13,Nico,Hulkenberg,27,17,19,1:19.806
2023,australia,14,Nyck,De Vries,21,8,25,1:19.933
2023,australia,15,Logan,Sargeant,2,16,21,1:20.074
2023,australia,16,Esteban,Ocon,31,16,20,1:20.175
2023,australia,17,Yuki,Tsunoda,22,8,14,1:20.399
2023,australia,18,Valtteri,Bottas,77,14,21,1:20.419
2023,australia,19,Zhou,Guanyu,24,14,22,1:20.569
2023,australia,20,Kevin,Magnussen,20,17,17,1:21.147
2023,azerbaijan,1,Max,Verstappen,1,16,22,1:42.315
2023,azerbaijan,2,Charles,Leclerc,16,8,21,1:42.352
2023,azerbaijan,3,Sergio,Perez,11,16,22,1:42.454
2023,azerbaijan,4,Carlos,Sainz,55,8,23,1:42.899
2023,azerbaijan,5,Lando,Norris,4,16,22,1:43.125
2023,azerbaijan,6,Nyck,De Vries,21,8,24,1:43.414
2023,azerbaijan,7,Lance,Stroll,18,16,23,1:43.455
2023,azerbaijan,8,Fernando,Alonso,14,16,20,1:43.560
2023,azerbaijan,9,Alexander,Albon,23,16,25,1:43.628
2023,azerbaijan,10,Zhou,Guanyu,24,14,23,1:43.748
2023,azerbaijan,11,Lewis,Hamilton,44,16,21,1:43.798
2023,azerbaijan,12,Oscar,Piastri,81,16,23,1:43.980
2023,azerbaijan,13,Valtteri,Bottas,77,14,23,1:44.010
2023,azerbaijan,14,Yuki,Tsunoda,22,8,18,1:44.137
2023,azerbaijan,15,Nico,Hulkenberg,27,17,21,1:44.323
2023,azerbaijan,16,Logan,Sargeant,2,16,16,1:44.900
2023,azerbaijan,17,George,Russell,63,16,20,1:45.082
2023,azerbaijan,18,Esteban,Ocon,31,16,8,1:45.955
2023,azerbaijan,19,Pierre,Gasly,10,16,7,1:46.321
2023,azerbaijan,20,Kevin,Magnussen,20,17,8,1:47.498
2023,miami,1,George,Russell,63,16,18,1:30.125
2023,miami,2,Lewis,Hamilton,44,16,24,1:30.337
2023,miami,3,Charles,Leclerc,16,8,23,1:30.449
2023,miami,4,Max,Verstappen,1,16,22,1:30.549
2023,miami,5,Carlos,Sainz,55,8,23,1:30.724
2023,miami,6,Pierre,Gasly,10,16,20,1:31.104
2023,miami,7,Fernando,Alonso,14,16,24,1:31.231
2023,miami,8,Lance,Stroll,18,16,24,1:31.337
2023,miami,9,Nico,Hulkenberg,27,17,14,1:31.392
2023,miami,10,Esteban,Ocon,31,16,27,1:31.542
2023,miami,11,Sergio,Perez,11,16,22,1:31.566
2023,miami,12,Oscar,Piastri,81,16,24,1:31.810
2023,miami,13,Kevin,Magnussen,20,17,25,1:31.853
2023,miami,14,Valtteri,Bottas,77,14,24,1:31.902
2023,miami,15,Alexander,Albon,23,16,25,1:31.903
2023,miami,16,Lando,Norris,4,16,23,1:31.997
2023,miami,17,Zhou,Guanyu,24,14,22,1:32.134
2023,miami,18,Yuki,Tsunoda,22,8,28,1:32.169
2023,miami,19,Logan,Sargeant,2,16,27,1:32.619
2023,miami,20,Nyck,De Vries,21,8,10,1:34.637
2023,monaco,1,Carlos,Sainz,55,8,26,1:13.372
2023,monaco,2,Fernando,Alonso,14,16,28,1:13.710
2023,monaco,3,Lewis,Hamilton,44,16,27,1:14.035
2023,monaco,4,Sergio,Perez,11,16,27,1:14.038
2023,monaco,5,Charles,Leclerc,16,8,24,1:14.093
2023,monaco,6,Max,Verstappen,1,16,26,1:14.244
2023,monaco,7,Lando,Norris,4,16,25,1:14.467
2023,monaco,8,Esteban,Ocon,31,16,29,1:14.585
2023,monaco,9,Lance,Stroll,18,16,28,1:14.653
2023,monaco,10,Alexander,Albon,23,16,32,1:14.666
2023,monaco,11,Valtteri,Bottas,77,14,29,1:14.718
2023,monaco,12,Kevin,Magnussen,20,17,29,1:14.725
2023,monaco,13,Yuki,Tsunoda,22,8,29,1:14.820
2023,monaco,14,Pierre,Gasly,10,16,30,1:14.866
2023,monaco,15,George,Russell,63,16,24,1:15.066
2023,monaco,16,Nyck,De Vries,21,8,33,1:15.083
2023,monaco,17,Oscar,Piastri,81,16,32,1:15.192
2023,monaco,18,Logan,Sargeant,2,16,30,1:15.557
2023,monaco,19,Zhou,Guanyu,24,14,25,1:15.684
2023,monaco,20,Nico,Hulkenberg,27,17,17,1:15.785
2023,spain,1,Max,Verstappen,1,16,32,1:14.606
2023,spain,2,Sergio,Perez,11,16,32,1:15.374
2023,spain,3,Esteban,Ocon,31,16,28,1:15.418
2023,spain,4,Nyck,De Vries,21,8,27,1:15.504
2023,spain,5,Pierre,Gasly,10,16,27,1:15.545
2023,spain,6,Fernando,Alonso,14,16,24,1:15.547
2023,spain,7,Kevin,Magnussen,20,17,22,1:15.689
2023,spain,8,Charles,Leclerc,16,8,28,1:15.694
2023,spain,9,Carlos,Sainz,55,8,27,1:15.726
2023,spain,10,George,Russell,63,16,32,1:15.753
2023,spain,11,Lando,Norris,4,16,25,1:15.783
2023,spain,12,Lewis,Hamilton,44,16,29,1:15.845
2023,spain,13,Zhou,Guanyu,24,14,24,1:15.906
2023,spain,14,Yuki,Tsunoda,22,8,27,1:15.915
2023,spain,15,Lance,Stroll,18,16,25,1:15.939
