Qualifying ID,Qualifying Type,Driver ID,Event ID,Position,Laps Completed,Q1,Q2,Q3
1,1,0,1,1,15,1:31.295,1:30.503,1:29.708
2,1,1,1,2,15,1:31.479,1:30.746,1:29.846
3,1,18,1,3,17,1:31.094,1:30.282,1:30.000
4,1,3,1,4,18,1:30.993,1:30.515,1:30.154
5,1,2,1,5,15,1:31.158,1:30.645,1:30.336
6,1,6,1,6,15,1:31.057,1:30.507,1:30.340
7,1,4,1,7,15,1:31.543,1:30.513,1:30.384
8,1,5,1,8,18,1:31.184,1:31.127,1:30.836
9,1,17,1,9,15,1:31.508,1:30.914,1:30.984
10,1,14,1,10,17,1:31.204,1:30.809,DNF
11,1,16,1,11,13,1:31.652,1:31.381,
12,1,7,1,12,12,1:31.504,1:31.443,
13,1,15,1,13,12,1:31.615,1:31.473,
14,1,10,1,14,15,1:31.400,1:32.510,
15,1,9,1,15,8,1:31.461,DNF,
16,1,11,1,16,6,1:31.652,,
17,1,12,1,17,6,1:31.892,,
18,1,19,1,18,7,1:32.101,,
19,1,13,1,19,9,1:32.121,,
20,1,8,1,20,6,1:32.181,,
21,1,1,2,1,18,1:29.244,1:28.635,1:28.265
22,1,18,2,2,19,1:29.376,1:28.903,1:28.420
23,1,2,2,3,18,1:29.298,1:28.757,1:28.730
24,1,6,2,4,21,1:29.592,1:29.132,1:28.857
25,1,3,2,5,24,1:29.411,1:28.957,1:28.931
26,1,5,2,6,20,1:29.335,1:28.962,1:28.945
27,1,17,2,7,24,1:29.707,1:29.255,1:29.078
28,1,4,2,8,21,1:29.689,1:29.374,1:29.223
29,1,19,2,9,23,1:29.706,1:29.378,1:29.243
30,1,8,2,10,23,1:29.890,1:29.411,1:29.357
31,1,14,2,11,18,1:29.547,1:29.451,
32,1,15,2,12,18,1:29.654,1:29.461,
33,1,12,2,13,17,1:29.744,1:29.634,
34,1,7,2,14,18,1:29.929,1:29.668,
35,1,0,2,15,6,1:28.761,1:49.953,
36,1,10,2,16,10,1:29.939,,
37,1,9,2,17,9,1:29.994,,
38,1,13,2,18,10,1:30.244,,
39,1,16,2,19,4,1:30.447,,
40,1,11,2,20,8,2:08.510,,
41,1,0,3,1,24,1:17.384,1:17.056,1:16.732
42,1,6,3,2,29,1:17.654,1:17.513,1:16.968
43,1,4,3,3,28,1:17.689,1:17.551,1:17.104
44,1,2,3,4,26,1:17.832,1:17.283,1:17.139
45,1,3,3,5,28,1:17.928,1:17.349,1:17.270
46,1,5,3,6,26,1:17.873,1:17.616,1:17.308
47,1,18,3,7,25,1:18.218,1:17.390,1:17.369
48,1,9,3,8,27,1:17.962,1:17.761,1:17.609
49,1,8,3,9,25,1:18.312,1:17.574,1:17.675
50,1,14,3,10,26,1:18.029,1:17.412,1:17.735
51,1,17,3,11,18,1:17.770,1:17.768,
52,1,10,3,12,22,1:18.471,1:18.099,
53,1,16,3,13,24,1:18.243,1:18.119,
54,1,12,3,14,18,1:18.159,1:18.129,
55,1,13,3,15,23,1:18.450,1:18.335,
56,1,19,3,16,12,1:18.517,,
57,1,15,3,17,12,1:18.540,,
58,1,11,3,18,12,1:18.557,,
59,1,7,3,19,12,1:18.714,,
60,1,1,3,20,2,DNF,,
61,1,18,4,1,21,1:41.269,1:41.037,1:40.203
62,1,0,4,2,20,1:41.398,1:40.822,1:40.391
63,1,1,4,3,21,1:41.756,1:41.131,1:40.495
64,1,3,4,4,24,1:42.197,1:41.369,1:41.016
65,1,4,4,5,24,1:42.113,1:41.650,1:41.177
