
2023,bahrain,Zhou,Guanyu,24
2023,saudi-arabia,Max,Verstappen,1
2023,australia,Sergio,Perez,11
2023,azerbaijan,George,Russell,63
2023,miami,Max,Verstappen,1
2023,monaco,Lewis,Hamilton,44
2023,spain,Max,Verstappen,1
2023,canada,Sergio,Perez,11
2023,austria,Max,Verstappen,1
2023,great-britain,Max,Verstappen,1
2023,hungary,Max,Verstappen,1
2023,belgium,Lewis,Hamilton,44
2023,netherlands,Fernando,Alonso,14
2023,italy,Oscar,Piastri,81
2023,singapore,Lewis,Hamilton,44
2023,japan,Max,Verstappen,1
2023,qatar,Max,Verstappen,1
2023,united-states,Yuki,Tsunoda,22
